,Country/Region,Continent,Population,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,Serious/Critical,Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region
0,USA,North America,331198130,5032179,162804,2576668,2292707,18296,15194.0,492.0,63139605,190640.0,Americas
1,Brazil,South America,212710692,2917562,98644,2047660,771258,8318,13716.0,464.0,13206188,62085.0,Americas
2,India,Asia,1381344997,2025409,41638,1377384,606387,8944,1466.0,30.0,22149351,16035.0,South-EastAsia
3,Russia,Europe,145940924,871894,14606,676357,180931,2300,5974.0,100.0,29716907,203623.0,Europe
4,South Africa,Africa,59381566,538184,9604,387316,141264,539,9063.0,162.0,3149807,53044.0,Africa
5,Mexico,North America,129066160,462690,50517,308848,103325,3987,3585.0,391.0,1056915,8189.0,Americas
6,Peru,South America,33016319,455409,20424,310337,124648,1426,13793.0,619.0,2493429,75521.0,Americas
7,Chile,South America,19132514,366671,9889,340168,16614,1358,19165.0,517.0,1760615,92022.0,Americas
8,Colombia,South America,50936262,357710,11939,192355,153416,1493,7023.0,234.0,1801835,35374.0,Americas
9,Spain,Europe,46756648,354530,28500,0,0,617,7582.0,610.0,7064329,151087.0,Europe
10,Iran,Asia,84097623,320117,17976,277463,24678,4156,3806.0,214.0,2612763,31068.0,EasternMediterranean
11,UK,Europe,67922029,308134,46413,0,0,73,4537.0,683.0,17515234,257873.0,Europe
12,Saudi Arabia,Asia,34865919,284226,3055,247089,34082,1915,8152.0,88.0,3635705,104277.0,EasternMediterranean
13,Pakistan,Asia,221295851,281863,6035,256058,19770,809,1274.0,27.0,2058872,9304.0,EasternMediterranean
14,Bangladesh,Asia,164851401,249651,3306,143824,102521,0,1514.0,20.0,1225124,7432.0,South-EastAsia
15,Italy,Europe,60452568,249204,35187,201323,12694,42,4122.0,582.0,7099713,117443.0,Europe
16,Turkey,Asia,84428331,237265,5798,220546,10921,580,2810.0,69.0,5081802,60191.0,Europe
17,Argentina,South America,45236884,228195,4251,99852,124092,1150,5044.0,94.0,794544,17564.0,Americas
18,Germany,Europe,83811260,215210,9252,196200,9758,236,2568.0,110.0,8586648,102452.0,Europe
19,France,Europe,65288306,195633,30312,82460,82861,384,2996.0,464.0,3992206,61147.0,Europe
20,Iraq,Asia,40306025,140603,5161,101025,34417,517,3488.0,128.0,1092741,27111.0,EasternMediterranean
21,Philippines,Asia,109722719,119460,2150,66837,50473,239,1089.0,20.0,1669996,15220.0,WesternPacific
