No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
2,AA,Alcoa Corporation,Basic Materials,Aluminum,USA,7.76B,-,44.20,0.80%,"2,061,757"
3,AAAU,Goldman Sachs Physical Gold ETF,Financial,Exchange Traded Fund,USA,-,-,17.83,0.31%,"341,142"
4,AAC,Ares Acquisition Corporation,Financial,Shell Companies,USA,1.26B,46.84,10.07,-0.10%,"318,795"
5,AACG,ATA Creativity Global,Consumer Defensive,Education & Training Services,China,45.50M,-,1.44,-0.69%,"9,970"
6,AACI,Armada Acquisition Corp. I,Financial,Shell Companies,USA,208.34M,-,10.06,0.00%,"11,675"
7,AACIW,Armada Acquisition Corp. I,Financial,Shell Companies,USA,-,-,0.03,-1.95%,"25,333"
8,AADI,"Aadi Bioscience, Inc.",Healthcare,Biotechnology,USA,307.87M,-,12.52,-0.79%,"38,295"
9,AADR,AdvisorShares Dorsey Wright ADR ETF,Financial,Exchange Traded Fund,USA,-,-,48.20,-0.52%,"1,782"
10,AAIC,Arlington Asset Investment Corp.,Real Estate,REIT - Mortgage,USA,80.79M,43.48,2.87,0.70%,"160,423"
11,AAL,American Airlines Group Inc.,Industrials,Airlines,USA,8.16B,-,12.71,1.19%,"17,181,204"
12,AAME,Atlantic American Corporation,Financial,Insurance - Life,USA,50.89M,19.21,2.42,-3.20%,"1,889"
13,AAN,"The Aaron's Company, Inc.",Industrials,Rental & Leasing Services,USA,345.65M,22.56,11.37,1.25%,"138,777"
14,AAOI,"Applied Optoelectronics, Inc.",Technology,Semiconductors,USA,57.00M,-,1.95,-2.50%,"204,086"
15,AAON,"AAON, Inc.",Industrials,Building Products & Equipment,USA,4.08B,60.40,75.86,-0.99%,"146,267"
16,AAP,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,USA,8.42B,18.43,143.28,0.84%,"524,546"
17,AAPD,Direxion Daily AAPL Bear 1X Shares,Financial,Exchange Traded Fund,USA,-,-,29.89,0.61%,"96,818"
